p1, p2, p3, p4, p5, p6, p7, p8, p9, p10, p11, p12, p13, p14, p15, p16, p17, p18, p19, p20, label 
6.268535,8.442095,9.555946,9.632093,9.696408,8.405119,8.878952,9.352199,9.459810,9.560697,1.943248,7.557034,2.670837,3.335364,4.082484,3.569783,3.701836,5.055214,3.708362,4.196798,zero 
6.415059,7.573841,7.285858,7.243527,7.591189,7.341541,7.553572,7.503743,7.599380,7.601845,1.300453,5.755548,1.994967,1.544135,2.619034,1.798858,2.519323,3.336257,1.861864,2.718473,zero 
6.337482,8.562403,8.933581,8.789703,9.062306,8.295595,8.700428,9.326688,8.854662,9.197779,1.359672,7.016385,2.382828,2.591884,3.089995,2.949832,2.660719,3.729300,2.935384,3.343544,zero 
6.062439,8.106061,8.563533,8.488456,8.384354,6.802574,7.881631,8.147759,8.352132,8.358510,1.536800,5.596778,1.829669,1.861266,2.830756,2.991832,3.041656,3.888943,2.085252,3.154944,zero 
7.424927,9.493447,9.457685,9.955196,9.476567,8.177062,8.264176,9.666793,9.345277,9.445305,1.362926,6.328906,1.807140,2.559579,2.967610,3.567001,3.311260,4.190018,2.228792,3.601863,zero 
5.945257,7.675645,8.209253,8.145157,8.331348,7.308080,8.495043,8.262686,7.734023,8.084966,1.346442,5.887858,2.332147,1.973235,2.926717,2.327898,2.801653,3.165299,2.300528,2.537261,zero 
6.222657,8.443464,8.731016,8.750731,9.499218,8.056117,9.297858,9.398605,8.624713,9.496488,1.301695,6.519607,2.355115,2.706716,3.378044,2.790614,2.511038,4.271856,2.892154,3.546691,zero 
6.895476,9.219680,9.908338,9.729218,10.915705,9.359561,10.390487,10.795407,10.001772,10.927968,1.296240,8.085443,2.446418,3.449022,3.253164,3.356423,2.654244,4.092175,3.259077,3.343584,zero 
6.984802,8.857312,10.183266,9.570198,9.879759,8.424389,9.115275,9.712263,9.942247,9.773314,1.833933,7.235380,2.480906,3.225652,3.938784,3.381256,4.154471,5.276446,3.171808,4.641531,zero 
5.917581,8.985927,9.019495,9.112295,9.053495,7.561066,7.928503,9.274683,8.833047,9.211053,1.384779,6.107284,1.781209,2.553156,2.930015,3.194775,2.600694,4.314840,2.434722,3.305918,zero 
6.861649,8.000116,9.307351,8.904082,9.339902,7.779055,8.439017,9.405735,9.372478,9.388330,1.586557,6.758519,2.127748,3.290538,3.864392,3.246694,3.541991,4.451768,2.855320,3.905251,zero 
9.112424,9.335209,8.998248,9.334109,9.158165,9.182313,9.433022,9.412324,9.218108,9.359452,1.803761,5.645299,1.875719,2.294271,3.233354,2.790085,3.367741,4.245563,2.165895,3.862392,zero 
5.398423,8.991513,9.193390,8.737345,9.354322,8.078975,8.991752,9.325898,8.691563,9.255039,1.238639,6.880001,2.517283,2.420642,2.814480,2.744904,3.357197,3.246448,2.463952,2.426101,zero 
